name,gender,email,preference
Harry Potter,male,harrypotter@fiction.books,female
Hermione Granger,female,hermionegranger@fiction.books,male
Ginny Wealsey,female,ginnyweasley@fiction.books,male
Albus Dumbledore,male,albusdumbledore@fiction.books,male
Gellert Grindelwald,male,gellertgrindelwald@fiction.books,male
Donna Canvanagh,female,donnacavanagh@fiction.books,female
Hazel McNamara,female,hazelmcnamara@fiction.books,female
Chuck Bass,male,chuckbass@fiction.books,male/female
Sadie Kane,female,sadiekane@fiction.books,male/female
Goran Bevlin,male,goranbevlin@fiction.books,male
Aisling Kaisa,female,ashkaisa@fiction.books,female
Peeta Mellark,male,peetamellark@fiction.books,female
Katniss Everdeen,female,katnisseverdeen@fiction.books,male
Francis Abernathy,male,francisabernathy@fiction.books,male
Jeremiah Fisher,male,jeremyfisher@fiction.books,male/female
Kitty Butler,female,kittybutler@fiction.books,male/female
